wing,height,color
453.798,156.62,orange
463.168,129.848,brown
480.57,92.3659,black
495.295,121.816,blue
511.359,149.927,yellow
526.084,132.525,green
550.179,108.429,red
578.291,84.3341,orange
611.757,58.9,brown
642.545,44.175,black
674.672,32.1273,blue
713.493,29.45,orange
763.022,42.8363,brown
799.166,60.2386,black
825.938,87.0113,blue
846.018,117.8,yellow
860.743,151.266,green
868.775,199.457,orange
867.436,236.939,brown
859.404,265.05,orange
832.631,297.177,brown
820.584,310.564,black
837.986,314.579,blue
862.081,337.336,yellow
887.516,378.834,green
899.563,416.316,orange
911.611,464.507,brown
916.966,522.068,black
916.966,544.825,blue
910.272,572.936,yellow
943.738,614.434,green
947.754,658.609,red
942.4,689.397,brown
920.981,701.445,brown
898.225,705.461,brown
858.066,694.752,orange
799.166,667.979,orange
710.816,619.788,orange
641.207,574.275,green
571.597,523.407,green
520.729,479.232,green
520.729,497.973,green
531.438,530.1,green
543.486,566.243,green
560.888,593.016,green
584.984,614.434,orange
590.338,630.497,brown
580.968,635.852,black
562.227,630.497,blue
547.502,609.079,orange
526.084,587.661,brown
512.698,551.518,black
495.295,515.375,blue
483.247,483.247,yellow
480.57,477.893,green
475.216,492.618,red
465.845,524.745,orange
452.459,552.857,brown
439.073,574.275,black
435.057,587.661,blue
424.348,603.725,yellow
416.316,619.788,green
404.268,629.159,red
396.236,635.852,blue
381.511,641.207,yellow
376.157,641.207,yellow
385.527,623.804,yellow
394.898,613.095,yellow
401.591,602.386,yellow
427.025,547.502,yellow
439.073,501.988,yellow
444.427,483.247,yellow
425.686,503.327,yellow
348.045,562.227,yellow
317.257,578.291,yellow
307.886,584.984,yellow
285.129,597.032,white
277.098,610.418,white
266.389,618.45,white
220.875,645.222,white
219.536,647.9,white
203.473,661.286,white
74.9636,708.138,white
29.45,702.784,white
16.0636,684.043,white
18.7409,639.868,white
33.4659,613.095,white
52.2068,570.259,white
49.5295,543.486,white
45.5136,503.327,white
52.2068,456.475,white
73.625,386.866,white
91.0272,350.723,white
107.091,327.966,white
124.493,319.934,white
144.573,313.241,white
120.477,295.839,white
109.768,274.42,white
96.3818,240.954,white
88.35,206.15,white
101.736,144.573,white
123.154,112.445,white
151.266,82.9954,white
170.007,64.2545,white
202.134,44.175,white
235.6,36.1432,white
279.775,30.7886,white
321.273,46.8523,white
353.4,66.9318,white
384.188,89.6886,white
416.316,123.154,white
449.782,153.943,white
